Title,Start,End,Mark,URL
Insomnihack (Lausanne - CH),20/3/23,24/3/23,event,https://insomnihack.ch/insomnihack-2023/
Botconf (Strasbourg - FR),11/4/23,14/4/23,event,https://www.botconf.eu
BlueHat IL (Tel Aviv - IL),29/3/23,30/3/23,event,https://www.microsoftrnd.co.il/bluehatil/home
Hack in Paris (Paris - FR),25/9/23,29/9/23,event,https://hackinparis.com
Black Hat USA training (Las Vegas - US),5/8/23,10/8/23,training,https://www.blackhat.com/upcoming.html#usa
Black Hat USA briefings (Las Vegas - US),9/8/23,10/8/23,event,https://www.blackhat.com/upcoming.html#usa
DEF CON 31 (Las Vegas - US),10/8/23,13/8/23,event,https://defcon.org
Black Hat Europe training (London - UK),5/12/22,6/12/22,training,https://www.blackhat.com/eu-22/training/schedule/index.html
Black Hat Europe briefings (London - UK),7/12/22,8/12/22,event,https://www.blackhat.com/eu-22/briefings.html
BruCON training (Mechelen - BE),19/4/23,21/4/23,training,https://www.brucon.org/2023/
BruCON training (Mechelen - BE),25/9/23,27/9/23,training,https://www.brucon.org/2023/
TROOPERS training (Heidelberg - DE),26/6/23,27/6/23,training,https://troopers.de/troopers23/trainings/
TROOPERS conference (Heidelberg - DE),28/6/23,29/6/23,event,https://troopers.de/troopers23/conference/
FIRST Annual Conference (Montreal - CA),04/06/23,09/06/23,event,https://www.first.org/conference/2023/
FIRST Technical Colloquium (Amsterdam - NL),17/04/23,19/04/23,event,https://www.first.org/events/colloquia/amsterdam2023/
Hack in the Box training (Amsterdam - NL),17/04/23,21/04/23,training,https://conference.hitb.org/hitbsecconf2023ams/
Hack in the Box conference (Amsterdam - NL),20/04/23,21/04/23,event,https://conference.hitb.org/hitbsecconf2023ams/
FIRST Annual Conference (Fukuoka - JP),09/06/24,14/06/24,event,https://first.org/conference
NULLCON training (Berlin - DE),6/3/23,8/3/23,training,https://nullcon.net/berlin-2023/training/
NULLCON conference (Berlin - DE),9/3/23,10/3/23,event,https://nullcon.net/berlin-2023/conference-speakers/
BlueHat (Redmond - USA),8/2/23,9/2/23,event,https://www.microsoft.com/bluehat/
x33fcon training (Gdynia - PL),31/5/23,2/6/23,training,https://www.x33fcon.com/#!training.md
x33fcon conference (Gdynia - PL),29/5/23,30/5/23,event,https://www.x33fcon.com/#!conference.md
Hardwear.io USA trainings (Santa Clara - US),30/5/2023,1/6/2023,training,https://hardwear.io/usa-2023/training.php
Hardwear.io USA conference (Santa Clara - US),2/6/2023,3/6/2023,event,https://hardwear.io/usa-2023/
OffensiveCon trainings (Berlin - DE),15/5/2023,18/5/2023,training,https://www.offensivecon.org/trainings/
OffensiveCon conference (Berlin - DE),19/5/2023,20/5/2023,training,https://www.offensivecon.org/
The Hague Threat Intelligence Exchange (The Hague - NL),12/6/2023,12/6/2023,event,https://www.thehagueprogram.nl/the-hague-tix/hague-tix-2023
OneConference (The Hague - NL),3/10/2023,4/10/2023,event,https://one-conference.nl
NorthSec (Montreal - CA),18/5/2023,19/5/2023,event,https://nsec.io
WICCON 2023 (Haarlem - NL),31/10/2023,31/10/2023,event,https://wiccon.nl/
Bornhack (Funen - DK),2/8/2023,9/8/2023,event,https://www.bornhack.dk/bornhack-2023/
Chaos Communication Camp 2023 (Berlin - DE), 15/8/2023,19/8/2023,event,https://events.ccc.de/camp/2023/infos/
Chaos Communication Congress 2023 (Hamburg - DE),27/12/2023,30/12/2023,event,https://events.ccc.de/congress/
BSidesLV (Las Vegas - US),8/8/2023,9/8/2023,event,https://bsideslv.org
The Diana Initiative (Las Vegas - US),7/8/2023,7/8/2023,event,https://www.dianainitiative.org
